,Unnamed: 0,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location_lat,Location_long,date_occured,occured_on_dttm,NUM_RECORDS
0,14382,I192062990,2010,HOME INVASION,HOME INVASION,B2,288,0,2019,8,Sunday,18,,MADISON PARK CT,42.33102946,-71.08618278,42.33102946,-71.08618278,2019-08-11,2019-08-11 18:20:00,11
1,14383,I192062990,361,Robbery,ROBBERY - OTHER,B2,288,0,2019,8,Sunday,18,Part One,MADISON PARK CT,42.33102946,-71.08618278,42.33102946,-71.08618278,2019-08-11,2019-08-11 18:20:00,11
2,14384,I192062990,2511,Other,KIDNAPPING - ENTICING OR ATTEMPTED,B2,288,0,2019,8,Sunday,18,Part Two,MADISON PARK CT,42.33102946,-71.08618278,42.33102946,-71.08618278,2019-08-11,2019-08-11 18:20:00,11
3,14385,I192062990,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,B2,288,0,2019,8,Sunday,18,Part Two,MADISON PARK CT,42.33102946,-71.08618278,42.33102946,-71.08618278,2019-08-11,2019-08-11 18:20:00,11
4,14386,I192062990,2647,Other,THREATS TO DO BODILY HARM,B2,288,0,2019,8,Sunday,18,Part Two,MADISON PARK CT,42.33102946,-71.08618278,42.33102946,-71.08618278,2019-08-11,2019-08-11 18:20:00,11
5,14387,I192062990,371,Robbery,ROBBERY - HOME INVASION,B2,288,0,2019,8,Sunday,18,Part One,MADISON PARK CT,42.33102946,-71.08618278,42.33102946,-71.08618278,2019-08-11,2019-08-11 18:20:00,11
6,14388,I192062990,3130,Search Warrants,SEARCH WARRANT,B2,288,0,2019,8,Sunday,18,Part Three,MADISON PARK CT,42.33102946,-71.08618278,42.33102946,-71.08618278,2019-08-11,2019-08-11 18:20:00,11
7,14389,I192062990,3125,Warrant Arrests,WARRANT ARREST,B2,288,0,2019,8,Sunday,18,Part Three,MADISON PARK CT,42.33102946,-71.08618278,42.33102946,-71.08618278,2019-08-11,2019-08-11 18:20:00,11
8,14390,I192062990,423,Aggravated Assault,ASSAULT - AGGRAVATED,B2,288,0,2019,8,Sunday,18,Part One,MADISON PARK CT,42.33102946,-71.08618278,42.33102946,-71.08618278,2019-08-11,2019-08-11 18:20:00,11
9,14391,I192062990,1107,Fraud,FRAUD - IMPERSONATION,B2,288,0,2019,8,Sunday,18,Part Two,MADISON PARK CT,42.33102946,-71.08618278,42.33102946,-71.08618278,2019-08-11,2019-08-11 18:20:00,11
10,14392,I192062990,301,Robbery,ROBBERY - STREET,B2,288,0,2019,8,Sunday,18,Part One,MADISON PARK CT,42.33102946,-71.08618278,42.33102946,-71.08618278,2019-08-11,2019-08-11 18:20:00,11
11,25582,I192051252,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,260,1,2019,7,Thursday,22,Part One,FOLSOM ST,42.31920052,-71.07103601,42.31920052,-71.07103601,2019-07-04,2019-07-04 22:58:00,8
12,25583,I192051252,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,260,1,2019,7,Thursday,22,Part One,FOLSOM ST,42.31920052,-71.07103601,42.31920052,-71.07103601,2019-07-04,2019-07-04 22:58:00,8
13,25584,I192051252,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,B2,260,1,2019,7,Thursday,22,Part Two,FOLSOM ST,42.31920052,-71.07103601,42.31920052,-71.07103601,2019-07-04,2019-07-04 22:58:00,8
14,25585,I192051252,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,B2,260,1,2019,7,Thursday,22,Part Two,FOLSOM ST,42.31920052,-71.07103601,42.31920052,-71.07103601,2019-07-04,2019-07-04 22:58:00,8
15,25586,I192051252,3170,Other,INTIMIDATING WITNESS,B2,260,1,2019,7,Thursday,22,Part Three,FOLSOM ST,42.31920052,-71.07103601,42.31920052,-71.07103601,2019-07-04,2019-07-04 22:58:00,8
16,25587,I192051252,3170,Other,INTIMIDATING WITNESS,B2,260,1,2019,7,Thursday,22,Part Three,FOLSOM ST,42.31920052,-71.07103601,42.31920052,-71.07103601,2019-07-04,2019-07-04 22:58:00,8
17,25588,I192051252,3125,Warrant Arrests,WARRANT ARREST,B2,260,1,2019,7,Thursday,22,Part Three,FOLSOM ST,42.31920052,-71.07103601,42.31920052,-71.07103601,2019-07-04,2019-07-04 22:58:00,8
18,25589,I192051252,3125,Warrant Arrests,WARRANT ARREST,B2,260,1,2019,7,Thursday,22,Part Three,FOLSOM ST,42.31920052,-71.07103601,42.31920052,-71.07103601,2019-07-04,2019-07-04 22:58:00,8
19,37417,I192038674,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",A1,102,0,2019,5,Thursday,19,Part Two,TREMONT ST,42.35637531,-71.06213513,42.35637531,-71.06213513,2019-05-23,2019-05-23 19:55:00,9
20,37418,I192038674,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",A1,102,0,2019,5,Thursday,19,Part Two,TREMONT ST,42.35637531,-71.06213513,42.35637531,-71.06213513,2019-05-23,2019-05-23 19:55:00,9
21,37419,I192038674,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,102,0,2019,5,Thursday,19,Part Two,TREMONT ST,42.35637531,-71.06213513,42.35637531,-71.06213513,2019-05-23,2019-05-23 19:55:00,9
22,37420,I192038674,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,102,0,2019,5,Thursday,19,Part Two,TREMONT ST,42.35637531,-71.06213513,42.35637531,-71.06213513,2019-05-23,2019-05-23 19:55:00,9
23,37421,I192038674,1843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,A1,102,0,2019,5,Thursday,19,Part Two,TREMONT ST,42.35637531,-71.06213513,42.35637531,-71.06213513,2019-05-23,2019-05-23 19:55:00,9
24,37422,I192038674,1845,Drug Violation,DRUGS - POSS CLASS D,A1,102,0,2019,5,Thursday,19,Part Two,TREMONT ST,42.35637531,-71.06213513,42.35637531,-71.06213513,2019-05-23,2019-05-23 19:55:00,9
25,37423,I192038674,2657,Other,VIOLATION - CITY ORDINANCE,A1,102,0,2019,5,Thursday,19,Part Two,TREMONT ST,42.35637531,-71.06213513,42.35637531,-71.06213513,2019-05-23,2019-05-23 19:55:00,9
26,37424,I192038674,2610,Other,TRESPASSING,A1,102,0,2019,5,Thursday,19,Part Two,TREMONT ST,42.35637531,-71.06213513,42.35637531,-71.06213513,2019-05-23,2019-05-23 19:55:00,9
27,37425,I192038674,2403,Disorderly Conduct,DISTURBING THE PEACE,A1,102,0,2019,5,Thursday,19,Part Two,TREMONT ST,42.35637531,-71.06213513,42.35637531,-71.06213513,2019-05-23,2019-05-23 19:55:00,9
28,43709,I192032179,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,823,1,2019,5,Wednesday,18,Part One,WINDERMERE RD,42.31424363,-71.06258627,42.31424363,-71.06258627,2019-05-01,2019-05-01 18:26:00,8
29,43710,I192032179,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,823,1,2019,5,Wednesday,18,Part One,WINDERMERE RD,42.31424363,-71.06258627,42.31424363,-71.06258627,2019-05-01,2019-05-01 18:26:00,8
30,43711,I192032179,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,823,1,2019,5,Wednesday,18,Part One,WINDERMERE RD,42.31424363,-71.06258627,42.31424363,-71.06258627,2019-05-01,2019-05-01 18:26:00,8
31,43712,I192032179,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,823,1,2019,5,Wednesday,18,Part One,WINDERMERE RD,42.31424363,-71.06258627,42.31424363,-71.06258627,2019-05-01,2019-05-01 18:26:00,8
32,43713,I192032179,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",C11,823,1,2019,5,Wednesday,18,Part One,WINDERMERE RD,42.31424363,-71.06258627,42.31424363,-71.06258627,2019-05-01,2019-05-01 18:26:00,8
33,43714,I192032179,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",C11,823,1,2019,5,Wednesday,18,Part One,WINDERMERE RD,42.31424363,-71.06258627,42.31424363,-71.06258627,2019-05-01,2019-05-01 18:26:00,8
34,43715,I192032179,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",C11,823,1,2019,5,Wednesday,18,Part One,WINDERMERE RD,42.31424363,-71.06258627,42.31424363,-71.06258627,2019-05-01,2019-05-01 18:26:00,8
35,43716,I192032179,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",C11,823,1,2019,5,Wednesday,18,Part One,WINDERMERE RD,42.31424363,-71.06258627,42.31424363,-71.06258627,2019-05-01,2019-05-01 18:26:00,8
36,44170,I192031675,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",C11, ,0,2019,4,Monday,21,Part Two,,42.30177104,-71.05104876,42.30177104,-71.05104876,2019-04-29,2019-04-29 21:01:00,8
37,44171,I192031675,1846,Drug Violation,DRUGS - POSS CLASS E,C11, ,0,2019,4,Monday,21,Part Two,,42.30177104,-71.05104876,42.30177104,-71.05104876,2019-04-29,2019-04-29 21:01:00,8
38,44172,I192031675,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,C11, ,0,2019,4,Monday,21,Part Two,,42.30177104,-71.05104876,42.30177104,-71.05104876,2019-04-29,2019-04-29 21:01:00,8
